Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.5210909090909092,0.09761096673246444,0.5292666816271395,0.17930445062139344,0.520443367280879,0.27712317797852687,0.47500596036047193,0.18790137929571388,0.544963265004229,0.06281671536205494
SVM (RBF),0.5196363636363637,0.0994980792206314,0.5340935359181195,0.1647904747863144,0.4506093750571858,0.2889648476958607,0.4306602434105613,0.19873386793497053,0.5530791842483961,0.06766783856591496
Random Forest,0.5126363636363637,0.08379550077667192,0.5292989696231565,0.13275099458917416,0.5461982677978916,0.2585813675555644,0.4924966905496525,0.15896462930817357,0.5321638272901228,0.05949486829416393
